ICD-10 code;CCS group;CCS group_description
B36;4;Mycoses
B360;4;Mycoses
B361;4;Mycoses
B362;4;Mycoses
B363;4;Mycoses
B368;4;Mycoses
B369;4;Mycoses
B37;4;Mycoses
B370;4;Mycoses
B371;4;Mycoses
B372;4;Mycoses
B373;4;Mycoses
B374;4;Mycoses
B375;4;Mycoses
B376;4;Mycoses
B377;4;Mycoses
B378;4;Mycoses
B379;4;Mycoses
B38;4;Mycoses
B380;4;Mycoses
B381;4;Mycoses
B382;4;Mycoses
B383;4;Mycoses
B384;4;Mycoses
B387;4;Mycoses
B388;4;Mycoses
B389;4;Mycoses
B39;4;Mycoses
B390;4;Mycoses
B391;4;Mycoses
B392;4;Mycoses
B393;4;Mycoses
B394;4;Mycoses
B395;4;Mycoses
B399;4;Mycoses
B40;4;Mycoses
B400;4;Mycoses
B401;4;Mycoses
B402;4;Mycoses
B403;4;Mycoses
B407;4;Mycoses
B408;4;Mycoses
B409;4;Mycoses
B41;4;Mycoses
B410;4;Mycoses
B417;4;Mycoses
B418;4;Mycoses
B419;4;Mycoses
B42;4;Mycoses
B420;4;Mycoses
B421;4;Mycoses
B427;4;Mycoses
B428;4;Mycoses
B429;4;Mycoses
B43;4;Mycoses
B430;4;Mycoses
B431;4;Mycoses
B432;4;Mycoses
B438;4;Mycoses
B439;4;Mycoses
B44;4;Mycoses
B440;4;Mycoses
B441;4;Mycoses
B442;4;Mycoses
B447;4;Mycoses
B448;4;Mycoses
B449;4;Mycoses
B45;4;Mycoses
B450;4;Mycoses
B451;4;Mycoses
B452;4;Mycoses
B453;4;Mycoses
B457;4;Mycoses
B458;4;Mycoses
B459;4;Mycoses
B46;4;Mycoses
B460;4;Mycoses
B461;4;Mycoses
B462;4;Mycoses
B463;4;Mycoses
B464;4;Mycoses
B465;4;Mycoses
B468;4;Mycoses
B469;4;Mycoses
B47;4;Mycoses
B470;4;Mycoses
B471;4;Mycoses
B479;4;Mycoses
B48;4;Mycoses
B480;4;Mycoses
B481;4;Mycoses
B482;4;Mycoses
B483;4;Mycoses
B484;4;Mycoses
B487;4;Mycoses
B488;4;Mycoses
B49;4;Mycoses
B20;5;HIV infection
B200;5;HIV infection
B201;5;HIV infection
B202;5;HIV infection
B203;5;HIV infection
B204;5;HIV infection
B205;5;HIV infection
B206;5;HIV infection
B207;5;HIV infection
B208;5;HIV infection
B209;5;HIV infection
B21;5;HIV infection
B210;5;HIV infection
B211;5;HIV infection
B212;5;HIV infection
B213;5;HIV infection
B217;5;HIV infection
B218;5;HIV infection
B219;5;HIV infection
B22;5;HIV infection
B220;5;HIV infection
B221;5;HIV infection
B222;5;HIV infection
B227;5;HIV infection
B23;5;HIV infection
B230;5;HIV infection
B231;5;HIV infection
B232;5;HIV infection
B238;5;HIV infection
B24;5;HIV infection
R75;5;HIV infection
Z21;5;HIV infection
B15;6;Hepatitis
B150;6;Hepatitis
B159;6;Hepatitis
B16;6;Hepatitis
B160;6;Hepatitis
B161;6;Hepatitis
B162;6;Hepatitis
B169;6;Hepatitis
B17;6;Hepatitis
B170;6;Hepatitis
B171;6;Hepatitis
B172;6;Hepatitis
B178;6;Hepatitis
B179;6;Hepatitis
B18;6;Hepatitis
B180;6;Hepatitis
B181;6;Hepatitis
B182;6;Hepatitis
B188;6;Hepatitis
B189;6;Hepatitis
B19;6;Hepatitis
B190;6;Hepatitis
B199;6;Hepatitis
B251;6;Hepatitis
B581;6;Hepatitis
B942;6;Hepatitis
K712;6;Hepatitis
K713;6;Hepatitis
K714;6;Hepatitis
K715;6;Hepatitis
K716;6;Hepatitis
K73;6;Hepatitis
K730;6;Hepatitis
K731;6;Hepatitis
K732;6;Hepatitis
K738;6;Hepatitis
K739;6;Hepatitis
K752;6;Hepatitis
K753;6;Hepatitis
K754;6;Hepatitis
P353;6;Hepatitis
A70;7;Viral infection
A82;7;Viral infection
A820;7;Viral infection
A821;7;Viral infection
A829;7;Viral infection
A881;7;Viral infection
A90;7;Viral infection
A91;7;Viral infection
A92;7;Viral infection
A920;7;Viral infection
A921;7;Viral infection
A923;7;Viral infection
A924;7;Viral infection
A928;7;Viral infection
A929;7;Viral infection
A93;7;Viral infection
A930;7;Viral infection
A931;7;Viral infection
A932;7;Viral infection
A938;7;Viral infection
A94;7;Viral infection
A95;7;Viral infection
A950;7;Viral infection
A951;7;Viral infection
A959;7;Viral infection
A96;7;Viral infection
A960;7;Viral infection
A961;7;Viral infection
A962;7;Viral infection
A968;7;Viral infection
A969;7;Viral infection
A98;7;Viral infection
A980;7;Viral infection
A981;7;Viral infection
A982;7;Viral infection
A983;7;Viral infection
A984;7;Viral infection
A985;7;Viral infection
A988;7;Viral infection
A99;7;Viral infection
B00;7;Viral infection
B000;7;Viral infection
B001;7;Viral infection
B002;7;Viral infection
B008;7;Viral infection
B009;7;Viral infection
B01;7;Viral infection
B018;7;Viral infection
B019;7;Viral infection
B02;7;Viral infection
B022;7;Viral infection
B027;7;Viral infection
B028;7;Viral infection
B029;7;Viral infection
B03;7;Viral infection
B04;7;Viral infection
B05;7;Viral infection
B059;7;Viral infection
B06;7;Viral infection
B068;7;Viral infection
B069;7;Viral infection
B07;7;Viral infection
B08;7;Viral infection
B080;7;Viral infection
B081;7;Viral infection
B082;7;Viral infection
B083;7;Viral infection
B084;7;Viral infection
B085;7;Viral infection
B088;7;Viral infection
B09;7;Viral infection
B25;7;Viral infection
B258;7;Viral infection
B259;7;Viral infection
B26;7;Viral infection
B260;7;Viral infection
B268;7;Viral infection
B269;7;Viral infection
B27;7;Viral infection
B270;7;Viral infection
B271;7;Viral infection
B278;7;Viral infection
B279;7;Viral infection
B33;7;Viral infection
B330;7;Viral infection
B331;7;Viral infection
B333;7;Viral infection
B338;7;Viral infection
B34;7;Viral infection
B340;7;Viral infection
B341;7;Viral infection
B342;7;Viral infection
B343;7;Viral infection
B344;7;Viral infection
B348;7;Viral infection
B349;7;Viral infection
B97;7;Viral infection
P352;7;Viral infection
U04;7;Viral infection
U049;7;Viral infection
U069;7;Viral infection
A27;8;"Other infections; including parasitic"
A270;8;"Other infections; including parasitic"
A278;8;"Other infections; including parasitic"
A279;8;"Other infections; including parasitic"
A44;8;"Other infections; including parasitic"
A440;8;"Other infections; including parasitic"
A448;8;"Other infections; including parasitic"
A449;8;"Other infections; including parasitic"
A65;8;"Other infections; including parasitic"
A66;8;"Other infections; including parasitic"
A660;8;"Other infections; including parasitic"
A661;8;"Other infections; including parasitic"
A662;8;"Other infections; including parasitic"
A663;8;"Other infections; including parasitic"
A664;8;"Other infections; including parasitic"
A665;8;"Other infections; including parasitic"
A666;8;"Other infections; including parasitic"
A667;8;"Other infections; including parasitic"
A668;8;"Other infections; including parasitic"
A669;8;"Other infections; including parasitic"
A67;8;"Other infections; including parasitic"
A670;8;"Other infections; including parasitic"
A671;8;"Other infections; including parasitic"
A672;8;"Other infections; including parasitic"
A673;8;"Other infections; including parasitic"
A679;8;"Other infections; including parasitic"
A68;8;"Other infections; including parasitic"
A680;8;"Other infections; including parasitic"
A681;8;"Other infections; including parasitic"
A689;8;"Other infections; including parasitic"
A69;8;"Other infections; including parasitic"
A692;8;"Other infections; including parasitic"
A698;8;"Other infections; including parasitic"
A699;8;"Other infections; including parasitic"
A75;8;"Other infections; including parasitic"
A750;8;"Other infections; including parasitic"
A751;8;"Other infections; including parasitic"
A752;8;"Other infections; including parasitic"
A753;8;"Other infections; including parasitic"
A759;8;"Other infections; including parasitic"
A77;8;"Other infections; including parasitic"
A770;8;"Other infections; including parasitic"
A771;8;"Other infections; including parasitic"
A772;8;"Other infections; including parasitic"
A773;8;"Other infections; including parasitic"
A778;8;"Other infections; including parasitic"
A779;8;"Other infections; including parasitic"
A79;8;"Other infections; including parasitic"
A790;8;"Other infections; including parasitic"
A791;8;"Other infections; including parasitic"
A798;8;"Other infections; including parasitic"
A799;8;"Other infections; including parasitic"
B50;8;"Other infections; including parasitic"
B500;8;"Other infections; including parasitic"
B508;8;"Other infections; including parasitic"
B509;8;"Other infections; including parasitic"
B51;8;"Other infections; including parasitic"
B510;8;"Other infections; including parasitic"
B518;8;"Other infections; including parasitic"
B519;8;"Other infections; including parasitic"
B52;8;"Other infections; including parasitic"
B520;8;"Other infections; including parasitic"
B528;8;"Other infections; including parasitic"
B529;8;"Other infections; including parasitic"
B53;8;"Other infections; including parasitic"
B530;8;"Other infections; including parasitic"
B531;8;"Other infections; including parasitic"
B538;8;"Other infections; including parasitic"
B54;8;"Other infections; including parasitic"
B55;8;"Other infections; including parasitic"
B550;8;"Other infections; including parasitic"
B551;8;"Other infections; including parasitic"
B552;8;"Other infections; including parasitic"
B559;8;"Other infections; including parasitic"
B56;8;"Other infections; including parasitic"
B560;8;"Other infections; including parasitic"
B561;8;"Other infections; including parasitic"
B569;8;"Other infections; including parasitic"
B57;8;"Other infections; including parasitic"
B570;8;"Other infections; including parasitic"
B571;8;"Other infections; including parasitic"
B572;8;"Other infections; including parasitic"
B573;8;"Other infections; including parasitic"
B574;8;"Other infections; including parasitic"
B575;8;"Other infections; including parasitic"
B58;8;"Other infections; including parasitic"
B588;8;"Other infections; including parasitic"
B589;8;"Other infections; including parasitic"
B60;8;"Other infections; including parasitic"
B600;8;"Other infections; including parasitic"
B608;8;"Other infections; including parasitic"
B64;8;"Other infections; including parasitic"
B65;8;"Other infections; including parasitic"
B650;8;"Other infections; including parasitic"
B651;8;"Other infections; including parasitic"
B652;8;"Other infections; including parasitic"
B658;8;"Other infections; including parasitic"
B659;8;"Other infections; including parasitic"
B66;8;"Other infections; including parasitic"
B660;8;"Other infections; including parasitic"
B661;8;"Other infections; including parasitic"
B662;8;"Other infections; including parasitic"
B663;8;"Other infections; including parasitic"
B664;8;"Other infections; including parasitic"
B665;8;"Other infections; including parasitic"
B668;8;"Other infections; including parasitic"
B669;8;"Other infections; including parasitic"
B67;8;"Other infections; including parasitic"
B670;8;"Other infections; including parasitic"
B673;8;"Other infections; including parasitic"
B674;8;"Other infections; including parasitic"
B675;8;"Other infections; including parasitic"
B676;8;"Other infections; including parasitic"
B677;8;"Other infections; including parasitic"
B678;8;"Other infections; including parasitic"
B679;8;"Other infections; including parasitic"
B68;8;"Other infections; including parasitic"
B680;8;"Other infections; including parasitic"
B681;8;"Other infections; including parasitic"
B689;8;"Other infections; including parasitic"
B69;8;"Other infections; including parasitic"
B698;8;"Other infections; including parasitic"
B699;8;"Other infections; including parasitic"
B70;8;"Other infections; including parasitic"
B700;8;"Other infections; including parasitic"
B701;8;"Other infections; including parasitic"
B71;8;"Other infections; including parasitic"
B710;8;"Other infections; including parasitic"
B711;8;"Other infections; including parasitic"
B718;8;"Other infections; including parasitic"
B719;8;"Other infections; including parasitic"
B72;8;"Other infections; including parasitic"
B73;8;"Other infections; including parasitic"
B74;8;"Other infections; including parasitic"
B740;8;"Other infections; including parasitic"
B741;8;"Other infections; including parasitic"
B742;8;"Other infections; including parasitic"
B743;8;"Other infections; including parasitic"
B744;8;"Other infections; including parasitic"
B748;8;"Other infections; including parasitic"
B749;8;"Other infections; including parasitic"
B75;8;"Other infections; including parasitic"
B76;8;"Other infections; including parasitic"
B760;8;"Other infections; including parasitic"
B761;8;"Other infections; including parasitic"
B768;8;"Other infections; including parasitic"
B769;8;"Other infections; including parasitic"
B77;8;"Other infections; including parasitic"
B778;8;"Other infections; including parasitic"
B779;8;"Other infections; including parasitic"
B78;8;"Other infections; including parasitic"
B787;8;"Other infections; including parasitic"
B789;8;"Other infections; including parasitic"
B79;8;"Other infections; including parasitic"
B80;8;"Other infections; including parasitic"
B81;8;"Other infections; including parasitic"
B83;8;"Other infections; including parasitic"
B830;8;"Other infections; including parasitic"
B831;8;"Other infections; including parasitic"
B833;8;"Other infections; including parasitic"
B834;8;"Other infections; including parasitic"
B838;8;"Other infections; including parasitic"
B839;8;"Other infections; including parasitic"
B85;8;"Other infections; including parasitic"
B850;8;"Other infections; including parasitic"
B851;8;"Other infections; including parasitic"
B852;8;"Other infections; including parasitic"
B853;8;"Other infections; including parasitic"
B854;8;"Other infections; including parasitic"
B86;8;"Other infections; including parasitic"
B87;8;"Other infections; including parasitic"
B878;8;"Other infections; including parasitic"
B879;8;"Other infections; including parasitic"
B88;8;"Other infections; including parasitic"
B880;8;"Other infections; including parasitic"
B881;8;"Other infections; including parasitic"
B882;8;"Other infections; including parasitic"
B883;8;"Other infections; including parasitic"
B888;8;"Other infections; including parasitic"
B889;8;"Other infections; including parasitic"
B89;8;"Other infections; including parasitic"
B92;8;"Other infections; including parasitic"
B94;8;"Other infections; including parasitic"
B948;8;"Other infections; including parasitic"
B949;8;"Other infections; including parasitic"
B99;8;"Other infections; including parasitic"
D733;8;"Other infections; including parasitic"
D86;8;"Other infections; including parasitic"
D860;8;"Other infections; including parasitic"
D861;8;"Other infections; including parasitic"
D862;8;"Other infections; including parasitic"
D863;8;"Other infections; including parasitic"
D868;8;"Other infections; including parasitic"
D869;8;"Other infections; including parasitic"
A50;9;Sexually transmitted infections (not HIV or hepatitis)
A500;9;Sexually transmitted infections (not HIV or hepatitis)
A501;9;Sexually transmitted infections (not HIV or hepatitis)
A502;9;Sexually transmitted infections (not HIV or hepatitis)
A503;9;Sexually transmitted infections (not HIV or hepatitis)
A504;9;Sexually transmitted infections (not HIV or hepatitis)
A505;9;Sexually transmitted infections (not HIV or hepatitis)
A506;9;Sexually transmitted infections (not HIV or hepatitis)
A507;9;Sexually transmitted infections (not HIV or hepatitis)
A509;9;Sexually transmitted infections (not HIV or hepatitis)
A51;9;Sexually transmitted infections (not HIV or hepatitis)
A510;9;Sexually transmitted infections (not HIV or hepatitis)
A511;9;Sexually transmitted infections (not HIV or hepatitis)
A512;9;Sexually transmitted infections (not HIV or hepatitis)
A513;9;Sexually transmitted infections (not HIV or hepatitis)
A514;9;Sexually transmitted infections (not HIV or hepatitis)
A515;9;Sexually transmitted infections (not HIV or hepatitis)
A519;9;Sexually transmitted infections (not HIV or hepatitis)
A52;9;Sexually transmitted infections (not HIV or hepatitis)
A520;9;Sexually transmitted infections (not HIV or hepatitis)
A521;9;Sexually transmitted infections (not HIV or hepatitis)
A522;9;Sexually transmitted infections (not HIV or hepatitis)
A523;9;Sexually transmitted infections (not HIV or hepatitis)
A527;9;Sexually transmitted infections (not HIV or hepatitis)
A528;9;Sexually transmitted infections (not HIV or hepatitis)
A529;9;Sexually transmitted infections (not HIV or hepatitis)
A53;9;Sexually transmitted infections (not HIV or hepatitis)
A530;9;Sexually transmitted infections (not HIV or hepatitis)
A539;9;Sexually transmitted infections (not HIV or hepatitis)
A54;9;Sexually transmitted infections (not HIV or hepatitis)
A540;9;Sexually transmitted infections (not HIV or hepatitis)
A541;9;Sexually transmitted infections (not HIV or hepatitis)
A542;9;Sexually transmitted infections (not HIV or hepatitis)
A543;9;Sexually transmitted infections (not HIV or hepatitis)
A544;9;Sexually transmitted infections (not HIV or hepatitis)
A545;9;Sexually transmitted infections (not HIV or hepatitis)
A546;9;Sexually transmitted infections (not HIV or hepatitis)
A548;9;Sexually transmitted infections (not HIV or hepatitis)
A549;9;Sexually transmitted infections (not HIV or hepatitis)
A55;9;Sexually transmitted infections (not HIV or hepatitis)
A56;9;Sexually transmitted infections (not HIV or hepatitis)
A560;9;Sexually transmitted infections (not HIV or hepatitis)
A561;9;Sexually transmitted infections (not HIV or hepatitis)
A562;9;Sexually transmitted infections (not HIV or hepatitis)
A563;9;Sexually transmitted infections (not HIV or hepatitis)
A564;9;Sexually transmitted infections (not HIV or hepatitis)
A568;9;Sexually transmitted infections (not HIV or hepatitis)
A57;9;Sexually transmitted infections (not HIV or hepatitis)
A58;9;Sexually transmitted infections (not HIV or hepatitis)
A59;9;Sexually transmitted infections (not HIV or hepatitis)
A590;9;Sexually transmitted infections (not HIV or hepatitis)
A598;9;Sexually transmitted infections (not HIV or hepatitis)
A599;9;Sexually transmitted infections (not HIV or hepatitis)
A60;9;Sexually transmitted infections (not HIV or hepatitis)
A600;9;Sexually transmitted infections (not HIV or hepatitis)
A601;9;Sexually transmitted infections (not HIV or hepatitis)
A609;9;Sexually transmitted infections (not HIV or hepatitis)
A63;9;Sexually transmitted infections (not HIV or hepatitis)
A630;9;Sexually transmitted infections (not HIV or hepatitis)
A638;9;Sexually transmitted infections (not HIV or hepatitis)
A64;9;Sexually transmitted infections (not HIV or hepatitis)
R761;10;Immunizations and screening for infectious disease
R762;10;Immunizations and screening for infectious disease
Z030;10;Immunizations and screening for infectious disease
Z11;10;Immunizations and screening for infectious disease
Z110;10;Immunizations and screening for infectious disease
Z111;10;Immunizations and screening for infectious disease
Z112;10;Immunizations and screening for infectious disease
Z113;10;Immunizations and screening for infectious disease
Z114;10;Immunizations and screening for infectious disease
Z115;10;Immunizations and screening for infectious disease
Z116;10;Immunizations and screening for infectious disease
Z118;10;Immunizations and screening for infectious disease
Z119;10;Immunizations and screening for infectious disease
Z20;10;Immunizations and screening for infectious disease
Z200;10;Immunizations and screening for infectious disease
Z201;10;Immunizations and screening for infectious disease
Z202;10;Immunizations and screening for infectious disease
Z203;10;Immunizations and screening for infectious disease
Z204;10;Immunizations and screening for infectious disease
Z205;10;Immunizations and screening for infectious disease
Z206;10;Immunizations and screening for infectious disease
Z207;10;Immunizations and screening for infectious disease
Z208;10;Immunizations and screening for infectious disease
Z209;10;Immunizations and screening for infectious disease
Z22;10;Immunizations and screening for infectious disease
Z220;10;Immunizations and screening for infectious disease
Z221;10;Immunizations and screening for infectious disease
Z222;10;Immunizations and screening for infectious disease
Z223;10;Immunizations and screening for infectious disease
Z224;10;Immunizations and screening for infectious disease
Z225;10;Immunizations and screening for infectious disease
Z226;10;Immunizations and screening for infectious disease
Z228;10;Immunizations and screening for infectious disease
Z229;10;Immunizations and screening for infectious disease
Z23;10;Immunizations and screening for infectious disease
Z230;10;Immunizations and screening for infectious disease
Z231;10;Immunizations and screening for infectious disease
Z232;10;Immunizations and screening for infectious disease
Z233;10;Immunizations and screening for infectious disease
Z234;10;Immunizations and screening for infectious disease
Z235;10;Immunizations and screening for infectious disease
Z236;10;Immunizations and screening for infectious disease
Z237;10;Immunizations and screening for infectious disease
Z238;10;Immunizations and screening for infectious disease
Z24;10;Immunizations and screening for infectious disease
Z240;10;Immunizations and screening for infectious disease
Z241;10;Immunizations and screening for infectious disease
Z242;10;Immunizations and screening for infectious disease
Z243;10;Immunizations and screening for infectious disease
Z244;10;Immunizations and screening for infectious disease
Z245;10;Immunizations and screening for infectious disease
Z246;10;Immunizations and screening for infectious disease
Z25;10;Immunizations and screening for infectious disease
Z250;10;Immunizations and screening for infectious disease
Z251;10;Immunizations and screening for infectious disease
Z258;10;Immunizations and screening for infectious disease
Z26;10;Immunizations and screening for infectious disease
Z260;10;Immunizations and screening for infectious disease
Z268;10;Immunizations and screening for infectious disease
Z269;10;Immunizations and screening for infectious disease
Z27;10;Immunizations and screening for infectious disease
Z270;10;Immunizations and screening for infectious disease
Z271;10;Immunizations and screening for infectious disease
Z272;10;Immunizations and screening for infectious disease
Z273;10;Immunizations and screening for infectious disease
Z274;10;Immunizations and screening for infectious disease
Z278;10;Immunizations and screening for infectious disease
Z279;10;Immunizations and screening for infectious disease
C00;11;Cancer of head and neck
C000;11;Cancer of head and neck
C001;11;Cancer of head and neck
C002;11;Cancer of head and neck
C003;11;Cancer of head and neck
C004;11;Cancer of head and neck
C005;11;Cancer of head and neck
C006;11;Cancer of head and neck
C008;11;Cancer of head and neck
C009;11;Cancer of head and neck
C01;11;Cancer of head and neck
C02;11;Cancer of head and neck
C020;11;Cancer of head and neck
C021;11;Cancer of head and neck
C022;11;Cancer of head and neck
C023;11;Cancer of head and neck
C024;11;Cancer of head and neck
C028;11;Cancer of head and neck
C029;11;Cancer of head and neck
C03;11;Cancer of head and neck
C030;11;Cancer of head and neck
C031;11;Cancer of head and neck
C039;11;Cancer of head and neck
C04;11;Cancer of head and neck
C040;11;Cancer of head and neck
C041;11;Cancer of head and neck
C048;11;Cancer of head and neck
C049;11;Cancer of head and neck
C05;11;Cancer of head and neck
C050;11;Cancer of head and neck
C051;11;Cancer of head and neck
C052;11;Cancer of head and neck
C058;11;Cancer of head and neck
C059;11;Cancer of head and neck
C06;11;Cancer of head and neck
C060;11;Cancer of head and neck
C061;11;Cancer of head and neck
C062;11;Cancer of head and neck
C068;11;Cancer of head and neck
C069;11;Cancer of head and neck
C07;11;Cancer of head and neck
C08;11;Cancer of head and neck
C080;11;Cancer of head and neck
C081;11;Cancer of head and neck
C088;11;Cancer of head and neck
C089;11;Cancer of head and neck
C09;11;Cancer of head and neck
C090;11;Cancer of head and neck
C091;11;Cancer of head and neck
C098;11;Cancer of head and neck
C099;11;Cancer of head and neck
C10;11;Cancer of head and neck
C100;11;Cancer of head and neck
C101;11;Cancer of head and neck
C102;11;Cancer of head and neck
C103;11;Cancer of head and neck
C104;11;Cancer of head and neck
C108;11;Cancer of head and neck
C109;11;Cancer of head and neck
C11;11;Cancer of head and neck
C110;11;Cancer of head and neck
C111;11;Cancer of head and neck
C112;11;Cancer of head and neck
C113;11;Cancer of head and neck
C118;11;Cancer of head and neck
C119;11;Cancer of head and neck
C12;11;Cancer of head and neck
C13;11;Cancer of head and neck
C130;11;Cancer of head and neck
C131;11;Cancer of head and neck
C132;11;Cancer of head and neck
C138;11;Cancer of head and neck
C139;11;Cancer of head and neck
C14;11;Cancer of head and neck
C140;11;Cancer of head and neck
C142;11;Cancer of head and neck
C148;11;Cancer of head and neck
C30;11;Cancer of head and neck
C300;11;Cancer of head and neck
C301;11;Cancer of head and neck
C31;11;Cancer of head and neck
C310;11;Cancer of head and neck
C311;11;Cancer of head and neck
C312;11;Cancer of head and neck
